id,user_id,session_id,explanation_given,was_needed,was_helpful,would_have_been_needed,created_at
1,4,16,False,,,False,2025-08-19 11:11:41.596067
2,4,17,False,,,True,2025-08-19 11:13:48.023123
3,4,21,True,True,True,,2025-08-19 11:21:23.193671
4,4,23,True,True,True,,2025-08-19 11:24:25.199422
5,4,24,True,True,False,,2025-08-19 11:26:25.380120
6,4,25,True,True,True,,2025-08-19 11:29:01.012489
7,7,28,True,True,True,,2025-08-22 15:00:20.052017
8,7,29,True,True,True,,2025-08-22 15:03:04.531789
9,10,37,False,,,True,2025-08-22 23:27:35.783424
10,11,53,False,,,False,2025-08-24 14:12:56.334058
11,11,54,True,True,True,,2025-08-24 14:18:24.172511
12,14,66,False,,,True,2025-08-25 18:51:04.243227
13,14,68,False,,,False,2025-08-25 18:56:24.729125
14,14,69,True,True,True,,2025-08-25 19:00:05.149340
15,14,70,True,True,True,,2025-08-25 19:03:14.412101
16,14,71,True,True,False,,2025-08-25 19:05:48.919559
17,14,72,True,True,False,,2025-08-25 19:08:29.373165
18,14,73,True,True,True,,2025-08-25 19:15:43.264915
19,14,74,True,True,False,,2025-08-25 19:18:17.716354
20,13,75,False,,,False,2025-08-25 20:18:04.680426
21,13,77,False,,,False,2025-08-25 20:33:45.526416
22,13,78,False,,,True,2025-08-25 20:36:01.479117
23,13,79,False,,,True,2025-08-25 20:41:39.983469
24,13,80,False,,,False,2025-08-25 20:47:28.134028
25,13,82,False,,,True,2025-08-25 21:02:55.129558
26,13,84,False,,,False,2025-08-25 21:08:49.566408
27,13,86,False,,,False,2025-08-25 21:13:00.877016
28,15,87,False,,,False,2025-08-27 20:21:25.297147
29,15,90,True,False,,,2025-08-27 20:28:23.767623
30,15,91,False,,,False,2025-08-27 20:32:55.310352
31,15,92,True,True,True,,2025-08-27 20:37:26.162931
32,15,93,True,False,,,2025-08-27 20:40:08.968370
33,16,95,True,True,True,,2025-08-27 20:46:06.038284
34,15,96,True,True,True,,2025-08-27 20:46:26.006693
35,16,97,False,,,False,2025-08-27 20:49:03.104425
